Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2022-08-24,165.3302459716797,133.8000030517578,113.14904022216797,270.0330810546875,297.0966796875
2022-08-25,167.79742431640625,137.27999877929688,116.09495544433594,273.0292663574219,296.07000732421875
2022-08-26,161.4716033935547,130.75,109.81497955322266,262.4938049316406,288.0899963378906
2022-08-29,159.26100158691406,129.7899932861328,108.89935302734375,259.6934814453125,284.82000732421875
2022-08-30,156.823486328125,128.72999572753906,108.42163848876953,257.480712890625,277.70001220703125
2022-08-31,155.15562438964844,126.7699966430664,107.70506286621094,256.01202392578125,275.6099853515625
2022-09-01,155.88592529296875,127.81999969482422,109.21784210205078,254.96438598632812,277.1600036621094
2022-09-02,153.76416015625,127.51000213623047,107.33682250976562,250.7149200439453,270.2099914550781
2022-09-06,152.5009765625,126.11000061035156,106.30177307128906,247.96359252929688,274.4200134277344
2022-09-07,153.9121856689453,129.47999572753906,108.92921447753906,252.70260620117188,283.70001220703125
2022-09-08,152.43190002441406,129.82000732421875,107.86429595947266,253.12356567382812,289.260009765625
2022-09-09,155.30364990234375,133.27000427246094,110.12350463867188,258.9395751953125,299.67999267578125
2022-09-12,161.28408813476562,136.4499969482422,110.33250427246094,261.0838928222656,304.4200134277344
2022-09-13,151.81997680664062,126.81999969482422,103.82362365722656,246.7299041748047,292.1300048828125
2022-09-14,153.27072143554688,128.5500030517578,104.5003890991211,246.955078125,302.6099853515625
2022-09-15,150.3693084716797,126.27999877929688,102.42034149169922,240.2578582763672,303.75
2022-09-16,148.72122192382812,123.52999877929688,102.31085968017578,239.63125610351562,303.3500061035156
2022-09-19,152.45159912109375,124.66000366210938,102.57957458496094,239.4158172607422,309.07000732421875
2022-09-20,154.83981323242188,122.19000244140625,100.65876007080078,237.38900756835938,308.7300109863281
2022-09-21,151.7015838623047,118.54000091552734,98.80760192871094,233.9620819091797,300.79998779296875
2022-09-22,150.73448181152344,117.30999755859375,99.66350555419922,235.94969177246094,288.5899963378906
2022-09-23,148.45477294921875,113.77999877929688,98.27017974853516,232.95359802246094,275.3299865722656
2022-09-26,148.7903289794922,115.1500015258789,97.702880859375,232.493408203125,276.010009765625
2022-09-27,149.767333984375,114.41000366210938,97.03607940673828,231.47509765625,282.94000244140625
2022-09-28,147.87252807617188,118.01000213623047,99.5739517211914,236.037841796875,287.80999755859375
2022-09-29,140.6091766357422,114.80000305175781,96.95645904541016,232.54237365722656,268.2099914550781
2022-09-30,136.38536071777344,113.0,95.19487762451172,228.03836059570312,265.25
2022-10-03,140.57957458496094,115.87999725341797,98.170654296875,235.7147216796875,242.39999389648438
